INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed,,,,,,,,,,,,,,,,,,,
45,0,3112252,1453122,0,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,3112243,1452432,0,,,,,,,,,,,,,,,,,,,,,,,,,
47,0,3112244,1449756,0,,,,,,,,,,,,,,,,,,,,,,,,,
48,0,3112244,1444460,0,,,,,,,,,,,,,,,,,,,,,,,,,
49,0,3115046,1444438,0,,,,,,,,,,,,,,,,,,,,,,,,,
50,0,3116771,1444434,0,,,,,,,,,,,,,,,,,,,,,,,,,
51,0,3117539,1443081,0,,,,,,,,,,,,,,,,,,,,,,,,,
52,0,3120190,1444438,0,,,,,,,,,,,,,,,,,,,,,,,,,
53,0,3117586,1433868,0,,,,,,,,,,,,,,,,,,,,,,,,,
54,0,3117564,1435701,0,,,,,,,,,,,,,,,,,,,,,,,,,
55,0,3117554,1437161,0,,,,,,,,,,,,,,,,,,,,,,,,,
56,0,3106946,1444477,0,,,,,,,,,,,,,,,,,,,,,,,,,
57,0,3117019,1439153,0,,,,,,,,,,,,,,,,,,,,,,,,,
58,0,3119366,1439149,0,,,,,,,,,,,,,,,,,,,,,,,,,
59,0,3116756,1441834,0,,,,,,,,,,,,,,,,,,,,,,,,,
60,0,3115083,1441834,0,,,,,,,,,,,,,,,,,,,,,,,,,
61,0,3122871,1439172,0,,,,,,,,,,,,,,,,,,,,,,,,,
62,0,3124111,1439170,0,,,,,,,,,,,,,,,,,,,,,,,,,
63,0,3122855,1441962,0,,,,,,,,,,,,,,,,,,,,,,,,,
64,0,3122839,1444285,0,,,,,,,,,,,,,,,,,,,,,,,,,
65,0,3112241,1442063,0,,,,,,,,,,,,,,,,,,,,,,,,,
66,0,3122816,1448399,0,,,,,,,,,,,,,,,,,,,,,,,,,
67,0,3112246,1440626,0,,,,,,,,,,,,,,,,,,,,,,,,,
68,0,3112238,1443166,0,,,,,,,,,,,,,,,,,,,,,,,,,
69,0,3122830,1449740,0,,,,,,,,,,,,,,,,,,,,,,,,,
70,0,3122821,1452338,0,,,,,,,,,,,,,,,,,,,,,,,,,
71,0,3122823,1453712,0,,,,,,,,,,,,,,,,,,,,,,,,,
72,0,3123101,1454958,0,,,,,,,,,,,,,,,,,,,,,,,,,
73,0,3122897,1457638,0,,,,,,,,,,,,,,,,,,,,,,,,,
74,0,3117566,1462734,0,,,,,,,,,,,,,,,,,,,,,,,,,
75,0,3117586,1465568,0,,,,,,,,,,,,,,,,,,,,,,,,,
76,0,3117393,1467520,0,,,,,,,,,,,,,,,,,,,,,,,,,
77,0,3116931,1455969,0,,,,,,,,,,,,,,,,,,,,,,,,,
78,0,3114471,1455045,0,,,,,,,,,,,,,,,,,,,,,,,,,
79,0,3114473,1453756,0,,,,,,,,,,,,,,,,,,,,,,,,,
80,0,3116938,1456460,0,,,,,,,,,,,,,,,,,,,,,,,,,
81,0,3106967,1457750,0,,,,,,,,,,,,,,,,,,,,,,,,,
82,0,3106947,1455106,0,,,,,,,,,,,,,,,,,,,,,,,,,
83,0,3114765,1449727,0,,,,,,,,,,,,,,,,,,,,,,,,,
84,0,3115659,1449721,0,,,,,,,,,,,,,,,,,,,,,,,,,
85,0,3106930,1452412,0,,,,,,,,,,,,,,,,,,,,,,,,,
86,0,3106941,1449824,0,,,,,,,,,,,,,,,,,,,,,,,,,
87,2,3120817,1434544,0,,,,,,,,,,,,,,,,,,,,,,,,,
88,0,3106951,1445364,0,,,,,,,,,,,,,,,,,,,,,,,,,
89,0,3116474,1455475,0,,,,,,,,,,,,,,,,,,,,,,,,,
90,0,3116939,1457666,0,,,,,,,,,,,,,,,,,,,,,,,,,
91,0,3122811,1452974,0,,,,,,,,,,,,,,,,,,,,,,,,,
92,0,3113860,1444442,0,,,,,,,,,,,,,,,,,,,,,,,,,
93,0,3126405,1449768,0,,,,,,,,,,,,,,,,,,,,,,,,,
94,0,3128021,1449794,0,,,,,,,,,,,,,,,,,,,,,,,,,
